site_code,node,site_name,site_type
TOUT,JDA,"North Toutle Hatchery, WDFW",MRR
TOUTLR,JDA,Toutle River,MRR
TOUTNF,JDA,North Fork Toutle River,MRR
TR1,JDA,Lower Trout Cr - Deschutes,INT
TR2,JDA,Trout/Antelope Cr - Deschutes,INT
TRA,JDA,Trout Creek Auxillary Site,INT
TRC,JDA,"Trout Creek, Wind River",INT
TROU2C,JDA,"Trout Creek, Deschutes River Watershed",MRR
TROUTC,JDA,"Trout Creek (trib. to Wind River, Wash.)",MRR
TRYOC,JDA,"Tryon Creek, tributary to Willamette River",MRR
TSUGCR,JDA,"Tusgawa Creek, tributary to Mason Creek",MRR
TTOWER,JDA,"Transmission towers near Troutdale, OR",MRR
TURNCR,JDA,"Turner Creek, tributary to Coweeman River",MRR
TWX,JDA,Estuary Towed Array (Exp.),INT
VIENTC,JDA,"Viento Creek, Columbia River Gorge (OR)",MRR
WAHA,JDA,"Washougal Hatchery, WDFW",MRR
WALLIS,JDA,"Wallace Island, lower Columbia River near Clatskanie, OR",MRR
WARMSR,JDA,"Warm Springs River, Deschutes River Watershed",MRR
WASHOR,JDA,Washougal River,MRR
WASHWF,JDA,West Fork Washougal River,MRR
WFF,JDA,Willamette Falls Fishway,INT
WHC,JDA,"Lwr White Creek, Klickitat Bsn",INT
WHEELC,JDA,"Wheeler Canyon, tributary to Klickitat River",MRR
WHITEC,JDA,"White Creek, Klickitat River Basin",MRR
WHITSR,JDA,White Salmon River,MRR
WHITWF,JDA,"West Fork White Creek, Klickitat River Basin",MRR
WILL,JDA,Willard National Fish Hatchery,MRR
WILLR,JDA,Willamette River (Archaic - replaced with reach-specific definitions),MRR
WILLR1,JDA,Willamette River - mouth to Willamette Falls (km 0-43),MRR
WILLR2,JDA,Willamette River - Willamette Falls to Santiam River (km 43-175),MRR
WILLR3,JDA,Willamette River - Santiam River to the confluence of the Middle and Coast forks of the Willamette River (km 175-301),MRR
WILRMF,JDA,Middle Fork Willamette River,MRR
WIND2R,JDA,"Wind River, Washington",MRR
WLCHIS,JDA,"Welch Island, Lower Columbia",MRR
WLT,JDA,Walterville Fish Bypass Exit,INT
